Equipment_ID,Equipment_Name,Category,Status,Current_Site,Site_Lat,Site_Long,Initial_Cost (₹),Maintenance_Cost/day (₹),Rent_Cost/day (₹),Start_Date,End_Date,Days_Active,Maintenance_Status
EQ0001,Safety Net,Safety,On Rent,Katras Tunnel,23.81,86.44,20000,1555,250,10/31/2025,-,14,Available
EQ0002,Harness Set,Safety,Inventory,-,-,-,15000,1259,300,5/5/2025,5/18/2025,13,Available
EQ0003,Safety Jacket,Safety,On Rent,Kusunda Overpass,23.74,86.42,6000,931,120,4/19/2025,-,10,Available
EQ0004,Crane,Transportation,Inventory,-,-,-,2000000,372,6500,10/10/2025,10/14/2025,4,Available
EQ0005,Bulldozer,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,3500000,288,8000,8/5/2025,-,21,Available
EQ0006,Hydraulic Breaker,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,1200000,1892,5000,5/25/2025,-,7,Available
EQ0007,Loader,Transportation,Inventory,-,-,-,1500000,2079,5000,3/8/2025,3/10/2025,2,Available
EQ0008,Loader,Transportation,In Maintenance,-,-,-,1500000,1833,5000,1/14/2025,-,2,Under Repair
EQ0009,Welding Generator,Technical Equipment,On Rent,-,-,-,400000,1784,1200,2/28/2025,-,24,Available
EQ0010,Concrete Mixer,Technical Equipment,On Rent,-,-,-,150000,560,1500,4/15/2025,-,14,Available
EQ0011,Dump Truck,Transportation,On Rent,Barwadda Expansion,23.835,86.455,4500000,1722,9500,6/13/2025,-,9,Available
EQ0012,Compressor,Technical Equipment,On Rent,-,-,-,600000,1850,1800,8/15/2025,-,25,Available
EQ0013,Loader,Transportation,On Rent,-,-,-,1500000,669,5000,10/9/2025,-,28,Available
EQ0014,Crane,Transportation,On Rent,Kusunda Overpass,23.74,86.42,2000000,938,6500,8/18/2025,-,27,Available
EQ0015,Excavator,Technical Equipment,Inventory,-,-,-,2500000,118,8000,3/18/2025,3/26/2025,8,Available
EQ0016,Harness Set,Safety,In Maintenance,-,-,-,15000,177,300,11/27/2025,-,14,Under Repair
EQ0017,Safety Jacket,Safety,Inventory,-,-,-,6000,367,120,4/11/2025,4/13/2025,2,Available
EQ0018,Harness Set,Safety,On Rent,Katras Tunnel,23.81,86.44,15000,2033,300,5/5/2025,-,15,Available
EQ0019,Harness Set,Safety,Inventory,-,-,-,15000,1875,300,7/22/2025,7/26/2025,4,Available
EQ0020,Gloves Pack,Safety,On Rent,Saraidhela Bridge,23.795,86.425,5000,571,100,8/3/2025,-,24,Available
EQ0021,Safety Helmet Set,Safety,Inventory,-,-,-,8000,1483,150,1/7/2025,1/21/2025,14,Available
EQ0022,Excavator,Technical Equipment,In Maintenance,-,-,-,2500000,1694,8000,7/26/2025,-,15,Under Repair
EQ0023,Welding Generator,Technical Equipment,On Rent,-,-,-,400000,544,1200,4/30/2025,-,13,Available
EQ0024,Crane,Transportation,In Maintenance,-,-,-,2000000,926,6500,8/18/2025,-,12,Under Repair
EQ0025,Road Roller,Transportation,In Maintenance,-,-,-,3000000,998,7000,4/18/2025,-,9,Under Repair
EQ0026,Loader,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,1500000,807,5000,10/10/2025,-,23,Available
EQ0027,Safety Net,Safety,In Maintenance,-,-,-,20000,1802,250,11/11/2025,-,11,Under Repair
EQ0028,Excavator,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,2500000,1564,8000,1/25/2025,-,9,Available
EQ0029,Gloves Pack,Safety,Inventory,-,-,-,5000,998,100,3/25/2025,3/31/2025,6,Available
EQ0030,Road Roller,Transportation,On Rent,Barwadda Expansion,23.835,86.455,3000000,157,7000,6/25/2025,-,30,Available
EQ0031,Safety Jacket,Safety,On Rent,Govindpur Road Project,23.78,86.5,6000,998,120,1/12/2025,-,21,Available
EQ0032,Compressor,Technical Equipment,In Maintenance,-,-,-,600000,203,1800,4/10/2025,-,12,Under Repair
EQ0033,Compressor,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,600000,1882,1800,9/16/2025,-,13,Available
EQ0034,Bulldozer,Transportation,On Rent,Kusunda Overpass,23.74,86.42,3500000,499,8000,5/3/2025,-,22,Available
EQ0035,Gloves Pack,Safety,On Rent,Govindpur Road Project,23.78,86.5,5000,893,100,11/21/2025,-,26,Available
EQ0036,Harness Set,Safety,On Rent,-,-,-,15000,520,300,11/21/2025,-,30,Available
EQ0037,Safety Net,Safety,In Maintenance,-,-,-,20000,628,250,3/8/2025,-,5,Under Repair
EQ0038,Bulldozer,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,3500000,1213,8000,1/21/2025,-,23,Available
EQ0039,Excavator,Technical Equipment,In Maintenance,-,-,-,2500000,1046,8000,9/9/2025,-,3,Under Repair
EQ0040,Road Roller,Transportation,On Rent,Kusunda Overpass,23.74,86.42,3000000,117,7000,2/18/2025,-,12,Available
EQ0041,Welding Generator,Technical Equipment,In Maintenance,-,-,-,400000,1198,1200,10/11/2025,-,9,Under Repair
EQ0042,Gloves Pack,Safety,On Rent,Kusunda Overpass,23.74,86.42,5000,608,100,3/3/2025,-,7,Available
EQ0043,Loader,Transportation,On Rent,-,-,-,1500000,1414,5000,6/24/2025,-,9,Available
EQ0044,Loader,Transportation,Inventory,-,-,-,1500000,364,5000,3/18/2025,4/1/2025,14,Available
EQ0045,Excavator,Technical Equipment,Inventory,-,-,-,2500000,1528,8000,6/14/2025,6/22/2025,8,Available
EQ0046,Hydraulic Breaker,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,1200000,245,5000,5/6/2025,-,13,Available
EQ0047,Harness Set,Safety,On Rent,Govindpur Road Project,23.78,86.5,15000,430,300,11/24/2025,-,8,Available
EQ0048,Harness Set,Safety,On Rent,Saraidhela Bridge,23.795,86.425,15000,1059,300,8/5/2025,-,8,Available
EQ0049,Safety Helmet Set,Safety,On Rent,Barwadda Expansion,23.835,86.455,8000,644,150,4/14/2025,-,30,Available
EQ0050,Crane,Transportation,On Rent,Katras Tunnel,23.81,86.44,2000000,138,6500,4/24/2025,-,23,Available
EQ0051,Hydraulic Breaker,Technical Equipment,Inventory,-,-,-,1200000,1336,5000,6/30/2025,7/7/2025,7,Available
EQ0052,Bulldozer,Transportation,On Rent,-,-,-,3500000,1588,8000,3/4/2025,-,5,Available
EQ0053,Welding Generator,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,400000,323,1200,11/30/2025,-,15,Available
EQ0054,Road Roller,Transportation,On Rent,Katras Tunnel,23.81,86.44,3000000,166,7000,1/2/2025,-,17,Available
EQ0055,Safety Jacket,Safety,On Rent,Kusunda Overpass,23.74,86.42,6000,664,120,3/16/2025,-,18,Available
EQ0056,Gloves Pack,Safety,On Rent,-,-,-,5000,1277,100,11/27/2025,-,14,Available
EQ0057,Dump Truck,Transportation,Inventory,-,-,-,4500000,836,9500,11/9/2025,11/22/2025,13,Available
EQ0058,Hydraulic Breaker,Technical Equipment,In Maintenance,-,-,-,1200000,1488,5000,11/3/2025,-,10,Under Repair
EQ0059,Road Roller,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,3000000,808,7000,11/16/2025,-,6,Available
EQ0060,Loader,Transportation,On Rent,Kusunda Overpass,23.74,86.42,1500000,504,5000,2/25/2025,-,18,Available
EQ0061,Safety Net,Safety,On Rent,Kusunda Overpass,23.74,86.42,20000,1918,250,8/12/2025,-,7,Available
EQ0062,Safety Helmet Set,Safety,Inventory,-,-,-,8000,219,150,3/1/2025,3/8/2025,7,Available
EQ0063,Safety Helmet Set,Safety,On Rent,Katras Tunnel,23.81,86.44,8000,1843,150,3/7/2025,-,11,Available
EQ0064,Crane,Transportation,On Rent,Kusunda Overpass,23.74,86.42,2000000,1588,6500,11/22/2025,-,30,Available
EQ0065,Loader,Transportation,In Maintenance,-,-,-,1500000,1254,5000,9/5/2025,-,4,Under Repair
EQ0066,Bulldozer,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,3500000,644,8000,4/12/2025,-,22,Available
EQ0067,Road Roller,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,3000000,565,7000,9/27/2025,-,28,Available
EQ0068,Crane,Transportation,On Rent,Barwadda Expansion,23.835,86.455,2000000,1473,6500,4/10/2025,-,29,Available
EQ0069,Crane,Transportation,Inventory,-,-,-,2000000,104,6500,9/20/2025,10/2/2025,12,Available
EQ0070,Safety Helmet Set,Safety,On Rent,-,-,-,8000,1830,150,11/30/2025,-,10,Available
EQ0071,Safety Net,Safety,On Rent,Katras Tunnel,23.81,86.44,20000,779,250,9/14/2025,-,26,Available
